region,club,type,distance,date,finishers,dnf,eid
TX: Houston,Houston Randonneurs / 943030,RUSAP,106,2020/01/25,3,0.0,11670
NJ: NYC and Princeton,New Jersey Randonneurs / 930029,RUSAP,100,2020/01/25,0,,11604
TX: Austin,Hill Country Randonneurs / 943025,RUSAP,100,2020/01/25,3,0.0,11663
TX: Dallas,Lone Star Randonneurs / 943026,ACPB,300,2020/01/25,8,0.0,10879
MO: Kansas City,Audax Kansas City / 925005,RUSAP,114,2020/01/25,0,,11615
MD: Capital Region,DC Randonneurs / 946012,RUSAB,200,2020/01/25,1,0.0,11626
UT: Salt Lake City,Salt Lake Randonneurs / 944008,RUSAB,200,2020/01/25,0,,11667
CA: Los Angeles,Pacific Coast Highway Randonneurs / 905051,ACPB,200,2020/01/25,29,0.0,11167
CA: San Francisco,San Francisco Randonneurs / 905030,ACPB,200,2020/01/25,40,5.0,10938
TX: Dallas,Lone Star Randonneurs / 943026,ACPB,200,2020/01/25,2,0.0,10878
TX: West Texas,West Texas Randonneurs / 943003,ACPB,200,2020/01/25,0,,10858
FL: Southern,South Florida Randonneurs / 909014,RUSAB,207,2020/01/25,4,0.0,11641
WA: Seattle,Seattle International Randonneurs / 947018,RUSAP,100,2020/01/25,12,2.0,11646
CA: San Diego,San Diego Randonneurs / 905140,RUSAP,116,2020/01/26,2,0.0,11657
CO: Boulder,Rocky Mountain Cycling Club / 906002,RUSAP,104,2020/01/26,5,0.0,11622
CA: Los Angeles,Pacific Coast Highway Randonneurs / 905051,RUSAP,100,2020/01/26,3,0.0,11662
OH: Columbus,Ohio Randonneurs / 935012,RUSAB,200,2020/01/26,0,3.0,11614
NY: Central/Western,Finger Lakes Randonneurs / 932007,ACPB,200,2020/01/26,1,0.0,11412
WA: Seattle,Seattle International Randonneurs / 947018,RUSAB,202,2020/01/26,4,0.0,11628
TX: Austin,Hill Country Randonneurs / 943025,RUSAB,200,2020/01/28,2,0.0,11680
TN: Nashville,Harpeth Bicycle Club / 942046,RUSAB,200,2020/01/28,1,0.0,11677
AL: Birmingham,Montgomery Bicycle Club / 901005,RUSAP,108,2020/01/30,6,0.0,11674
WA: Seattle,Seattle International Randonneurs / 947018,RUSAB,206,2020/01/31,1,0.0,11685
UT: Salt Lake City,Salt Lake Randonneurs / 944008,RUSAP,100,2020/01/31,1,0.0,11672
MN: Twin Cities / Rochester,Minnesota Randonneurs / 923003,RUSAB,200,2020/02/01,6,0.0,11478
PA: Eastern,Pennsylvania Randonneurs / 938017,RUSAB,200,2020/02/01,21,0.0,11122
AZ: Phoenix,Arizona Randonneurs / 903020,RUSAB,208,2020/02/01,8,1.0,11686
CA: San Diego,San Diego Randonneurs / 905140,RUSAP,101,2020/02/01,2,0.0,10838
AL: Birmingham,Montgomery Bicycle Club / 901005,RUSAB,200,2020/02/01,11,0.0,11651
MD: Capital Region,DC Randonneurs / 946012,RUSAP,130,2020/02/01,3,1.0,11692
MO: Kansas City,Audax Kansas City / 925005,RUSAB,202,2020/02/01,10,0.0,11649
MO: Kansas City,Audax Kansas City / 925005,RUSAP,104,2020/02/01,2,1.0,11650
CO: Boulder,Rocky Mountain Cycling Club / 906002,RUSAB,212,2020/02/01,7,0.0,11655
UT: Salt Lake City,Salt Lake Randonneurs / 944008,RUSAB,200,2020/02/01,3,0.0,11673
WA: Seattle,Seattle International Randonneurs / 947018,RUSAB,206,2020/02/01,7,3.0,11684
TX: Austin,Hill Country Randonneurs / 943025,RUSAB,200,2020/02/01,5,0.0,11688
TX: Dallas,Lone Star Randonneurs / 943026,RUSAP,110,2020/02/01,9,1.0,11658
NJ: NYC and Princeton,New Jersey Randonneurs / 930029,RUSAP,100,2020/02/01,0,,11605
AZ: Phoenix,Arizona Randonneurs / 903020,ACPB,300,2020/02/01,11,1.0,11141
TX: Austin,Hill Country Randonneurs / 943025,RUSAP,105,2020/02/01,2,0.0,11664
AL: Birmingham,Montgomery Bicycle Club / 901005,RUSAP,108,2020/02/02,4,0.0,11675
CA: Davis,Davis Bike Club / 905014,RUSAP,100,2020/02/02,21,1.0,11276
CA: Los Angeles,Pacific Coast Highway Randonneurs / 905051,RUSAP,109,2020/02/02,6,0.0,11668
TX: Dallas,Lone Star Randonneurs / 943026,RUSAP,101,2020/02/02,5,0.0,11676
LA: New Orleans,Crescent City Randonneurs / 918002,RUSAP,107,2020/02/04,2,0.0,11694
UT: Salt Lake City,Salt Lake Randonneurs / 944008,RUSAB,200,2020/02/06,1,0.0,11703
MO: Kansas City,Audax Kansas City / 925005,RUSAP,111,2020/02/08,0,,11616
MN: Twin Cities / Rochester,Minnesota Randonneurs / 923003,RUSAP,100,2020/02/08,0,7.0,11489
CA: San Francisco,San Francisco Randonneurs / 905030,ACPB,200,2020/02/08,72,3.0,10939
TX: Dallas,Lone Star Randonneurs / 943026,RUSAB,214,2020/02/08,9,0.0,11711
NJ: NYC and Princeton,New Jersey Randonneurs / 930029,RUSAP,100,2020/02/08,0,,11715
WA: Seattle,Seattle International Randonneurs / 947018,RUSAB,200,2020/02/08,6,0.0,11721
FL: Gainesville,Gainesville Cycling Club / 909005,ACPB,200,2020/02/08,12,1.0,11120
UT: Salt Lake City,Salt Lake Randonneurs / 944008,RUSAP,100,2020/02/08,1,0.0,11689
MD: Capital Region,DC Randonneurs / 946012,RUSAB,200,2020/02/08,8,0.0,11690
CA: Santa Cruz,Santa Cruz Randonneurs / 905106,RUSAP,130,2020/02/08,4,0.0,11594
WA: Seattle,Seattle International Randonneurs / 947018,RUSAP,102,2020/02/08,7,0.0,11720
VA: Northern,Northern Virginia Randonneurs / 946020,RUSAB,200,2020/02/08,0,,11707
UT: Salt Lake City,Salt Lake Randonneurs / 944008,RUSAB,200,2020/02/08,1,0.0,11660
CO: Boulder,Rocky Mountain Cycling Club / 906002,ACPB,200,2020/02/08,20,0.0,11023
OR: Portland,Oregon Randonneurs / 937020,ACPB,200,2020/02/08,6,4.0,11349
TX: Austin,Hill Country Randonneurs / 943025,ACPB,300,2020/02/08,11,1.0,11069
FL: Southern,South Florida Randonneurs / 909014,ACPB,300,2020/02/08,12,0.0,11295
CA: San Diego,San Diego Randonneurs / 905140,ACPB,200,2020/02/08,12,1.0,10828
VA: Northern,Northern Virginia Randonneurs / 946020,RUSAP,100,2020/02/08,0,,11706
OR: Portland,Oregon Randonneurs / 937020,RUSAP,105,2020/02/08,5,0.0,11348
TX: Austin,Hill Country Randonneurs / 943025,ACPB,200,2020/02/08,0,,11068
TX: Austin,Hill Country Randonneurs / 943025,RUSAP,100,2020/02/09,2,0.0,11722
CA: Los Angeles,Pacific Coast Highway Randonneurs / 905051,RUSAB,202,2020/02/09,4,0.0,11643
CA: Los Angeles,Pacific Coast Highway Randonneurs / 905051,RUSAB,200,2020/02/15,9,1.0,11652
CO: Boulder,Rocky Mountain Cycling Club / 906002,RUSAP,112,2020/02/15,4,0.0,11705
WA: Seattle,Seattle International Randonneurs / 947018,RUSAB,211,2020/02/15,10,1.0,11681
NJ: NYC and Princeton,New Jersey Randonneurs / 930029,RUSAP,100,2020/02/15,1,0.0,11716
FL: Central,Central Florida Randonneurs / 909062,RUSAB,300,2020/02/15,9,1.0,11739
UT: Salt Lake City,Salt Lake Randonneurs / 944008,RUSAB,200,2020/02/15,0,,11704
GA: Atlanta,Audax Atlanta / 910004,ACPB,300,2020/02/15,8,1.0,10814
AL: Birmingham,Montgomery Bicycle Club / 901005,RUSAP,121,2020/02/15,9,0.0,10777
MD: Capital Region,DC Randonneurs / 946012,RUSAP,130,2020/02/15,1,0.0,11691
UT: Salt Lake City,Salt Lake Randonneurs / 944008,RUSAP,100,2020/02/15,1,0.0,11749
CA: San Luis Obispo,San Luis Obispo Randonneurs / 905166,ACPB,200,2020/02/15,15,1.0,11189
TX: Austin,Hill Country Randonneurs / 943025,RUSAP,100,2020/02/15,4,0.0,11714
TX: Dallas,Lone Star Randonneurs / 943026,RUSAP,100,2020/02/15,8,0.0,11731
TX: Austin,Hill Country Randonneurs / 943025,ACPB,300,2020/02/15,6,0.0,11070
OH: Columbus,Ohio Randonneurs / 935012,RUSAP,100,2020/02/15,2,0.0,11724
VA: Northern,Northern Virginia Randonneurs / 946020,RUSAP,105,2020/02/15,3,0.0,11729
WA: Seattle,Seattle International Randonneurs / 947018,RUSAP,100,2020/02/15,9,0.0,11682
VA: Northern,Northern Virginia Randonneurs / 946020,RUSAP,103,2020/02/16,1,0.0,11730
OH: Columbus,Ohio Randonneurs / 935012,RUSAP,100,2020/02/16,3,0.0,11723
MD: Capital Region,DC Randonneurs / 946012,RUSAB,200,2020/02/16,3,0.0,11727
NJ: NYC and Princeton,New Jersey Randonneurs / 930029,RUSAP,120,2020/02/16,6,0.0,11737
CA: San Luis Obispo,San Luis Obispo Randonneurs / 905166,ACPB,300,2020/02/16,19,2.0,11190
TN: Nashville,Harpeth Bicycle Club / 942046,RUSAB,200,2020/02/17,1,0.0,11741
MD: Capital Region,DC Randonneurs / 946012,RUSAB,200,2020/02/17,8,1.0,11710
NY: Central/Western,Finger Lakes Randonneurs / 932007,RUSAB,200,2020/02/17,1,0.0,11719
WA: Seattle,Seattle International Randonneurs / 947018,RUSAP,105,2020/02/17,20,0.0,11683
LA: New Orleans,Crescent City Randonneurs / 918002,RUSAP,107,2020/02/18,2,0.0,11696
NJ: NYC and Princeton,New Jersey Randonneurs / 930029,RUSAP,100,2020/02/22,0,,11717
CA: Santa Rosa,Santa Rosa Randonneurs / 905171,ACPB,200,2020/02/22,35,3.0,11111
NC: High Point,Bicycle For Life Club / 933057,ACPB,300,2020/02/22,2,0.0,11372
TX: Dallas,Lone Star Randonneurs / 943026,ACPB,300,2020/02/22,7,1.0,10881
NY: Central/Western,Finger Lakes Randonneurs / 932007,RUSAP,100,2020/02/22,2,0.0,11609
TX: Houston,Houston Randonneurs / 943030,ACPB,300,2020/02/22,0,,11008
CA: Los Angeles,Pacific Coast Highway Randonneurs / 905051,ACPB,300,2020/02/22,16,6.0,11168
IA: Central,Iowa Randonneurs / 915005,RUSAB,200,2020/02/22,1,1.0,11752
AZ: Tucson,PAC Tour / 949005,ACPB,200,2020/02/22,1,0.0,11472
NC: High Point,Bicycle For Life Club / 933057,ACPB,200,2020/02/22,10,0.0,11371
LA: New Orleans,Crescent City Randonneurs / 918002,RUSAP,107,2020/02/22,1,0.0,11697
OR: Eugene,South Willamette Randonneurs / 937003,RUSAP,100,2020/02/22,6,1.0,11298
TX: Dallas,Lone Star Randonneurs / 943026,ACPB,200,2020/02/22,8,0.0,10880
TX: Houston,Houston Randonneurs / 943030,ACPB,200,2020/02/22,4,0.0,11007
CO: Boulder,Rocky Mountain Cycling Club / 906002,RUSAB,200,2020/02/22,7,0.0,11745
WA: Seattle,Seattle International Randonneurs / 947018,RUSAP,100,2020/02/22,0,,11751
MD: Capital Region,DC Randonneurs / 946012,RUSAB,200,2020/02/22,4,0.0,11726
UT: Salt Lake City,Salt Lake Randonneurs / 944008,RUSAP,100,2020/02/22,1,0.0,11744
TX: Houston,Houston Randonneurs / 943030,RUSAP,111,2020/02/22,1,0.0,11006
MN: Twin Cities / Rochester,Minnesota Randonneurs / 923003,RUSAP,100,2020/02/22,6,1.0,11487
TX: Austin,Hill Country Randonneurs / 943025,RUSAB,215,2020/02/22,6,0.0,11748
TX: Austin,Hill Country Randonneurs / 943025,RUSAP,100,2020/02/22,0,,11665
TN: Nashville,Harpeth Bicycle Club / 942046,ACPB,200,2020/02/22,5,0.0,11231
TX: Dallas,Lone Star Randonneurs / 943026,RUSAP,100,2020/02/22,3,0.0,11742
IA: Central,Iowa Randonneurs / 915005,RUSAP,110,2020/02/22,1,1.0,11765
NY: Central/Western,Finger Lakes Randonneurs / 932007,ACPB,200,2020/02/23,1,0.0,11413
UT: Salt Lake City,Salt Lake Randonneurs / 944008,RUSAB,200,2020/02/23,0,,11757
FL: Southern,South Florida Randonneurs / 909014,RUSAB,210,2020/02/23,3,0.0,11740
NJ: NYC and Princeton,New Jersey Randonneurs / 930029,RUSAP,120,2020/02/23,5,0.0,11738
NC: Raleigh,North Carolina Bicycle Club / 933045,RUSAP,107,2020/02/23,4,0.0,11708
PA: Pittsburgh,Western Pennsylvania Bicycle Club / 938016,RUSAB,201,2020/02/23,1,0.0,11762
VA: Northern,Northern Virginia Randonneurs / 946020,RUSAB,200,2020/02/23,4,0.0,11755
NJ: NYC and Princeton,New Jersey Randonneurs / 930029,RUSAB,200,2020/02/23,18,0.0,11687
IA: Central,Iowa Randonneurs / 915005,RUSAB,200,2020/02/29,5,0.0,11753
MN: Twin Cities / Rochester,Minnesota Randonneurs / 923003,RUSAB,200,2020/02/29,4,0.0,11758
LA: New Orleans,Crescent City Randonneurs / 918002,ACPB,200,2020/02/29,2,0.0,11258
MD: Capital Region,DC Randonneurs / 946012,RUSAP,130,2020/02/29,2,1.0,11728
TX: Austin,Hill Country Randonneurs / 943025,RUSAB,324,2020/02/29,6,0.0,11775
VA: Northern,Northern Virginia Randonneurs / 946020,RUSAB,200,2020/02/29,0,,11763
UT: Salt Lake City,Salt Lake Randonneurs / 944008,RUSAB,201,2020/02/29,2,0.0,11756
WA: Seattle,Seattle International Randonneurs / 947018,RUSAP,106,2020/02/29,11,3.0,11774
MO: Kansas City,Audax Kansas City / 925005,RUSAP,101,2020/02/29,14,0.0,11767
AZ: Tucson,PAC Tour / 949005,ACPB,200,2020/02/29,5,0.0,11058
CA: San Diego,San Diego Randonneurs / 905140,ACPB,300,2020/02/29,6,0.0,10829
NJ: NYC and Princeton,New Jersey Randonneurs / 930029,RUSAB,200,2020/02/29,4,0.0,11743
NJ: NYC and Princeton,New Jersey Randonneurs / 930029,RUSAP,100,2020/02/29,1,0.0,11718
TX: Dallas,Lone Star Randonneurs / 943026,RUSAB,205,2020/02/29,7,0.0,11759
CA: Davis,Davis Bike Club / 905014,ACPB,200,2020/02/29,42,1.0,11277
VA: Northern,Northern Virginia Randonneurs / 946020,RUSAP,103,2020/03/01,2,0.0,11764
UT: Salt Lake City,Salt Lake Randonneurs / 944008,RUSAP,100,2020/03/01,1,0.0,11769
CA: Davis,Davis Bike Club / 905014,RUSAP,108,2020/03/01,3,0.0,11773
CA: Los Angeles,Pacific Coast Highway Randonneurs / 905051,RUSAB,200,2020/03/01,4,0.0,11659
TX: Dallas,Lone Star Randonneurs / 943026,RUSAP,107,2020/03/01,4,0.0,11760
AZ: Tucson,PAC Tour / 949005,ACPB,200,2020/03/04,0,,11062
UT: Salt Lake City,Salt Lake Randonneurs / 944008,RUSAP,100,2020/03/06,1,0.0,11780
IA: Central,Iowa Randonneurs / 915005,RUSAB,200,2020/03/07,1,0.0,11611
FL: Central,Central Florida Randonneurs / 909062,ACPB,400,2020/03/07,14,0.0,11437
TX: Dallas,Lone Star Randonneurs / 943026,RUSAP,112,2020/03/07,3,0.0,11776
CA: San Francisco,San Francisco Randonneurs / 905030,ACPB,300,2020/03/07,40,14.0,10941
AZ: Phoenix,Arizona Randonneurs / 903020,RUSAB,201,2020/03/07,9,0.0,11746
CO: Boulder,Rocky Mountain Cycling Club / 906002,RUSAB,200,2020/03/07,14,2.0,11656
TX: Austin,Hill Country Randonneurs / 943025,ACPB,400,2020/03/07,6,0.0,11073
CA: San Francisco,San Francisco Randonneurs / 905030,ACPB,200,2020/03/07,20,2.0,10940
UT: Salt Lake City,Salt Lake Randonneurs / 944008,RUSAB,200,2020/03/07,2,0.0,11781
MD: Capital Region,DC Randonneurs / 946012,ACPB,200,2020/03/07,29,1.0,11084
UT: Salt Lake City,Salt Lake Randonneurs / 944008,RUSAP,100,2020/03/07,1,0.0,11779
NC: High Point,Bicycle For Life Club / 933057,ACPB,400,2020/03/07,0,,11375
TX: Austin,Hill Country Randonneurs / 943025,ACPB,300,2020/03/07,2,0.0,11072
AZ: Tucson,PAC Tour / 949005,ACPB,200,2020/03/07,0,,11059
AZ: Phoenix,Arizona Randonneurs / 903020,ACPB,400,2020/03/07,20,1.0,11143
MO: Kansas City,Audax Kansas City / 925005,RUSAP,103,2020/03/07,12,0.0,11732
OR: Portland,Oregon Randonneurs / 937020,ACPB,300,2020/03/07,3,4.0,11351
NC: High Point,Bicycle For Life Club / 933057,ACPB,300,2020/03/07,0,,11374
TX: Austin,Hill Country Randonneurs / 943025,ACPB,200,2020/03/07,2,0.0,11071
FL: Southern,South Florida Randonneurs / 909014,ACPB,400,2020/03/07,9,0.0,11296
TX: Dallas,Lone Star Randonneurs / 943026,RUSAB,202,2020/03/07,5,0.0,11761
OR: Portland,Oregon Randonneurs / 937020,ACPB,200,2020/03/07,7,0.0,11350
NC: High Point,Bicycle For Life Club / 933057,ACPB,200,2020/03/07,8,0.0,11373
MN: Twin Cities / Rochester,Minnesota Randonneurs / 923003,RUSAB,200,2020/03/07,7,0.0,11479
AZ: Phoenix,Arizona Randonneurs / 903020,RUSAB,305,2020/03/07,0,,11747
CA: Los Angeles,Pacific Coast Highway Randonneurs / 905051,ACPB,300,2020/03/07,21,0.0,11169
NJ: NYC and Princeton,New Jersey Randonneurs / 930029,RUSAB,200,2020/03/08,8,0.0,11693
TX: Dallas,Lone Star Randonneurs / 943026,RUSAP,102,2020/03/08,23,0.0,11496
OR: Eugene,South Willamette Randonneurs / 937003,RUSAP,106,2020/03/08,4,0.0,11299
NY: Saratoga,Upstate NY Brevet Series / 932034,RUSAP,100,2020/03/08,1,0.0,11109
NC: Asheville,Asheville International Randonneurs / 933011,RUSAB,200,2020/03/08,4,0.0,11786
IN: Indianapolis,Indiana Randonneurs / 914005,RUSAP,100,2020/03/08,12,0.0,11262
CO: Boulder,Rocky Mountain Cycling Club / 906002,RUSAP,108,2020/03/08,13,0.0,11065
CA: San Francisco,San Francisco Randonneurs / 905030,RUSAP,109,2020/03/08,22,5.0,10943
MO: Kansas City,Audax Kansas City / 925005,RUSAP,106,2020/03/08,0,,11725
WA: Seattle,Seattle International Randonneurs / 947018,RUSAP,100,2020/03/08,0,,11308
NJ: NYC and Princeton,New Jersey Randonneurs / 930029,RUSAP,100,2020/03/08,1,0.0,11699
WI: Western,Driftless Randonneurs / 949007,RUSAP,100,2020/03/08,5,0.0,11199
PA: Eastern,Pennsylvania Randonneurs / 938017,RUSAP,107,2020/03/08,37,0.0,11123
MN: Twin Cities / Rochester,Minnesota Randonneurs / 923003,RUSAP,100,2020/03/08,0,,11480
WA: Seattle,Seattle International Randonneurs / 947018,RUSAP,100,2020/03/12,6,0.0,11790
UT: Salt Lake City,Salt Lake Randonneurs / 944008,RUSAP,100,2020/03/13,1,0.0,11798
MD: Capital Region,DC Randonneurs / 946012,RUSAB,204,2020/03/13,0,,11791
MO: Kansas City,Audax Kansas City / 925005,RUSAP,114,2020/03/14,0,,10971
OH: Columbus,Ohio Randonneurs / 935012,RUSAP,100,2020/03/14,4,0.0,11782
GA: Atlanta,Audax Atlanta / 910004,ACPB,400,2020/03/14,8,0.0,10815
MO: Kansas City,Audax Kansas City / 925005,ACPB,200,2020/03/14,2,0.0,10970
UT: Salt Lake City,Salt Lake Randonneurs / 944008,ACPB,200,2020/03/14,5,1.0,11216
NC: Raleigh,North Carolina Bicycle Club / 933045,RUSAP,100,2020/03/14,7,0.0,11709
UT: Salt Lake City,Salt Lake Randonneurs / 944008,RUSAP,103,2020/03/14,0,,11215
TX: Dallas,Lone Star Randonneurs / 943026,ACPB,400,2020/03/14,5,0.0,10884
TX: Austin,Hill Country Randonneurs / 943025,RUSAP,109,2020/03/14,6,0.0,11666
AZ: Tucson,PAC Tour / 949005,ACPB,200,2020/03/14,4,0.0,11060
TN: Nashville,Harpeth Bicycle Club / 942046,ACPB,200,2020/03/14,0,,11232
CA: Santa Cruz,Santa Cruz Randonneurs / 905106,ACPB,200,2020/03/14,1,2.0,10925
TX: Dallas,Lone Star Randonneurs / 943026,ACPB,300,2020/03/14,0,1.0,10883
